topic, metric, value, alpha, gamma, eta, inference, dataset
0,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
1,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
2,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
3,itd,9.79245,1.00E-05,1.00E-05,0.000114,crs,denews
4,itd,9.92453,1.00E-05,1.00E-05,0.000114,crs,denews
5,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
6,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
7,itd,9.92453,1.00E-05,1.00E-05,0.000114,crs,denews
8,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
9,itd,9.88679,1.00E-05,1.00E-05,0.000114,crs,denews
10,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
11,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
12,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
13,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
14,itd,9.96226,1.00E-05,1.00E-05,0.000114,crs,denews
15,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
16,itd,9.90566,1.00E-05,1.00E-05,0.000114,crs,denews
17,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
18,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
19,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
20,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
21,itd,9.92453,1.00E-05,1.00E-05,0.000114,crs,denews
22,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
23,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
24,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
25,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
26,itd,9.86792,1.00E-05,1.00E-05,0.000114,crs,denews
27,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
28,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
29,itd,9.90566,1.00E-05,1.00E-05,0.000114,crs,denews
30,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
31,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
32,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
33,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
34,itd,9.98113,1.00E-05,1.00E-05,0.000114,crs,denews
35,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
36,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
37,itd,10,1.00E-05,1.00E-05,0.000114,crs,denews
